Voltage,DriftTime,Collection,Lifetime,DriftTimeError,CollectionError,LifetimeErrorLow,LifetimeErrorHigh
9800,48.37,0.968,1506.71,1.0,0.025,674.0,5630.6
9000,49.17,0.940,791.81,0.9,0.020,204.2,408.0
8000,50.26,0.960,1217.31,0.4,0.027,500.5,2570.1
7000,51.73,0.970,1687.48,0.6,0.022,714.0,4281.0
6000,53.33,0.948,995.60,0.5,0.016,242.3,460.6
5000,54.97,0.998,24847.09,0.6,0.022,22566.6,1E10
4000,57.05,0.974,2170.31,3.3,0.021,989.0,9828.3
3600,55.79,1.009,1E5,3.9,0.018,93829.0,1E10
3000,61.88,1.023,1E5,0.6,0.028,87655.0,1E10
2600,64.85,0.970,2095.82,0.3,0.026,976.9,11889.5
2200,67.23,0.952,1365.40,5.2,0.020,407.5,975.6
1800,75.95,0.979,3519.93,0.7,0.016,1528.5,10850.9
1500,82.97,0.969,2626.24,3.6,0.018,970.3,3557.2
1200,95.03,0.877,722.07,6.2,0.024,124.6,183.9
900,117.33,0.782,476.29,8.1,0.018,41.6,49.1



