field, attachment
69.10,164000000000.00
156.68,138148209366.39
244.27,123859352142.11
331.85,110158722358.72
419.44,104211940836.94
507.02,96555746943.12
594.61,90591256294.73
682.19,85560872868.63
769.78,80530489442.53
857.36,75500106016.43
944.95,71876842657.34
1032.53,68744000000.00
1120.12,65611157342.66
1207.70,63609410984.85
1295.29,61939824810.61
1382.87,60270238636.36
1470.46,58569933333.33
1558.04,56643066666.67
1645.63,54716200000.00
1733.21,52789333333.33
1820.80,50862466666.67
1908.38,49434024013.72
1995.97,48409446540.88
2083.55,47384869068.04
2171.14,46360291595.20
2258.72,45335714122.36
2346.31,44311136649.51
2433.89,43432265356.27
2521.48,42698446355.45
2609.06,41964627354.63
2696.65,41230808353.81
2784.23,40496989352.99
2871.82,39763170352.17
2959.40,39029351351.35
3046.98,38295532350.53
3134.57,37573484474.37
3222.15,37065276094.28
3309.74,36557067714.18
3397.32,36048859334.08
3484.91,35540650953.98
3572.49,35032442573.89
3660.08,34524234193.79
3747.66,34016025813.69
3835.25,33507817433.60
3922.83,32999609053.50
4010.42,32579345779.22
4098.00,32180521915.58
4185.59,31781698051.95
4273.17,31382874188.31
4360.76,30984050324.68
4448.34,30585226461.04
4535.93,30186402597.40
4623.51,29787578733.77
4711.10,29388754870.13
4798.68,28989931006.49
4886.27,28591107142.86
4973.85,28192283279.22
5061.44,27796037617.55
5149.02,27554424242.42
5236.61,27312810867.29
5324.19,27071197492.16
5411.78,26829584117.03
5499.36,26587970741.90
5586.95,26346357366.77
5674.53,26104743991.64
5762.12,25863130616.51
5849.70,25621517241.38
5937.28,25379903866.25
6024.87,25138290491.12
6112.45,24896677115.99
6200.04,24655063740.86
6287.62,24413450365.73
6375.21,24171836990.60
6462.79,23930223615.46
6550.38,23688610240.33
6637.96,23446996865.20
6725.55,23205383490.07
6813.13,22976305841.92
6900.72,22818291940.02
6988.30,22660278038.11
7075.89,22502264136.21
7163.47,22344250234.30
7251.06,22186236332.40
7338.64,22028222430.49
7426.23,21870208528.58
7513.81,21712194626.68
7601.40,21554180724.77
7688.98,21396166822.87
7776.57,21238152920.96
7864.15,21080139019.06
7951.74,20922125117.15
8039.32,20764111215.25
8126.91,20606097313.34
8214.49,20448083411.43
8302.08,20290069509.53
8389.66,20132055607.62
8477.25,19974041705.72
8564.83,19816027803.81
8652.42,19658013901.91
8740.00,19500000000.00
