Density, Pressure
0.00001, 0.00001
0.0197, 2.68
0.0443, 7.02
0.0615, 9.92
0.0787, 12.8
0.0885, 14.3
0.108, 17.5
0.123, 19.7
0.138, 21.7
0.152, 23.7
0.167, 25.7
0.184, 28.0
0.204, 30.5
0.224, 32.7
0.243, 34.9
0.265, 37.3
0.290, 39.8
0.315, 42.0
0.342, 44.3
0.371, 46.7
0.401, 48.7
0.430, 50.5
0.459, 52.2
0.489, 53.7
0.518, 55.1
0.548, 56.3
0.577, 57.4
0.607, 58.3
0.636, 59.2
0.666, 59.9
0.695, 60.7
0.725, 61.3
0.754, 61.8
0.784, 62.3
0.813, 62.7
0.843, 63.0
0.872, 63.3
0.902, 63.5
0.931, 63.7
0.961, 63.8
0.990, 64.0
1.02, 64.0
1.05, 64.3
1.08, 64.4
1.11, 64.6
1.14, 64.8
1.17, 65.1
1.20, 65.1
1.23, 65.4
1.26, 65.5
1.29, 65.8
1.31, 66.0
1.34, 66.4
1.37, 66.8
1.40, 67.4
1.43, 68.0
1.46, 68.8
1.49, 69.8
1.52, 70.8
1.55, 71.9
1.58, 73.3
1.61, 75.0
1.64, 76.8
1.67, 78.9
1.69, 80.9
1.71, 83.0
1.73, 85.0
1.75, 87.3
1.77, 89.8
1.79, 92.1
1.80, 94.3
1.82, 96.6
1.83, 99.0
1.85, 102
1.86, 104
1.88, 107
1.89, 109
1.90, 111
1.91, 114
1.92, 116
1.93, 119
